date,open,high,low,close,volume,number_of_trades
11/1/2022,0.608,0.68,0.588,0.664,8266537.95,26465
11/2/2022,0.663,0.962,0.658,0.771,42399374.64,139275
11/3/2022,0.771,0.888,0.73,0.742,14040647.68,52376
11/4/2022,0.741,0.82,0.697,0.739,7856704.84,29812
11/5/2022,0.741,0.958,0.733,0.903,25607468.22,109775
11/6/2022,0.904,1.174,0.89,0.919,35167318.36,150673
11/7/2022,0.918,0.99,0.765,0.803,19304966.96,65559
11/8/2022,0.802,0.81,0.516,0.602,22219114.68,75767
11/9/2022,0.604,0.606,0.39,0.434,15598446.04,46581
11/10/2022,0.434,0.73,0.424,0.592,30788131.49,102474
11/11/2022,0.592,0.655,0.501,0.546,17856858.03,61710
11/12/2022,0.545,0.546,0.479,0.504,7430048.06,22958
11/13/2022,0.503,0.599,0.474,0.476,11214736.93,37063
11/14/2022,0.475,0.53,0.459,0.502,6666584.41,22539
11/15/2022,0.502,0.522,0.485,0.493,4329446.34,13630
11/16/2022,0.491,0.516,0.47,0.477,4426015.81,13883
11/17/2022,0.478,0.492,0.471,0.475,3221743.37,8952
11/18/2022,0.475,0.493,0.47,0.477,2514915.96,7147
11/19/2022,0.477,0.479,0.457,0.466,2020008.04,6245
11/20/2022,0.465,0.495,0.431,0.433,4546358.38,12309
11/21/2022,0.434,0.445,0.406,0.419,4311580.47,12033
11/22/2022,0.419,0.435,0.399,0.428,3591684.35,10421
11/23/2022,0.429,0.473,0.429,0.466,4900532.03,15733
11/24/2022,0.465,0.478,0.44,0.451,2935421.11,8347
11/25/2022,0.452,0.464,0.431,0.444,2401040.32,7069
11/26/2022,0.445,0.539,0.445,0.509,9838784.89,33454
11/27/2022,0.509,0.567,0.5,0.507,10116177.24,36803
11/28/2022,0.508,0.51,0.465,0.47,3906073.2,13264
11/29/2022,0.469,0.496,0.446,0.474,5869023.76,15756
11/30/2022,0.475,0.5,0.469,0.493,4730787.09,13991
12/1/2022,0.492,0.496,0.475,0.477,2551341.98,5867
12/2/2022,0.477,0.491,0.473,0.483,1820803.7,4183
12/3/2022,0.483,0.529,0.482,0.511,5808015.17,16137
12/4/2022,0.51,0.549,0.5,0.515,4809534.99,14190
12/5/2022,0.514,0.537,0.478,0.492,5521612.36,15816
12/6/2022,0.493,0.523,0.478,0.516,3274851.28,8444
12/7/2022,0.515,0.529,0.485,0.504,4496386.29,12840
12/8/2022,0.502,0.532,0.49,0.53,4843080.39,12972
12/9/2022,0.531,0.552,0.505,0.516,4542338.22,11958
12/10/2022,0.517,0.535,0.502,0.52,4019395.71,11175
12/11/2022,0.521,0.525,0.495,0.5,2066710.87,5648
12/12/2022,0.5,0.51,0.485,0.507,2849409.63,6744
12/13/2022,0.506,0.537,0.486,0.518,6018076.48,15534
12/14/2022,0.517,0.525,0.499,0.503,1732313.87,5286
12/15/2022,0.502,0.508,0.491,0.497,1569905.83,3880
12/16/2022,0.497,0.51,0.426,0.435,3619357.43,9684
12/17/2022,0.435,0.455,0.429,0.448,2119798.63,5579
12/18/2022,0.448,0.452,0.441,0.449,741135.39,2296
12/19/2022,0.449,0.453,0.409,0.42,2212736.89,5458
12/20/2022,0.42,0.44,0.417,0.431,1965693.46,5843
12/21/2022,0.432,0.433,0.409,0.415,1677690.43,5489
12/22/2022,0.415,0.448,0.41,0.427,2804964.51,8222
12/23/2022,0.428,0.45,0.425,0.429,3144791.25,7427
12/24/2022,0.429,0.431,0.423,0.423,991468.22,4458
12/25/2022,0.423,0.428,0.407,0.412,1603103.41,4977
12/26/2022,0.412,0.42,0.409,0.418,841068.12,2259
12/27/2022,0.419,0.424,0.408,0.417,1232462.89,3351
12/28/2022,0.417,0.46,0.405,0.422,4786905.09,15532
12/29/2022,0.421,0.437,0.402,0.404,2693684.66,6262
12/30/2022,0.404,0.411,0.397,0.407,1715408.32,5763
12/31/2022,0.406,0.413,0.4,0.403,1242668.21,4746
1/1/2023,0.403,0.409,0.4,0.404,973077.17,3180
1/2/2023,0.404,0.417,0.402,0.412,868429.03,2271
1/3/2023,0.414,0.419,0.402,0.41,1277078.01,2909
1/4/2023,0.409,0.426,0.396,0.414,3285763.49,6193
1/5/2023,0.414,0.437,0.408,0.417,2487329.07,6174
1/6/2023,0.418,0.421,0.404,0.419,1585731.34,5423
1/7/2023,0.421,0.433,0.408,0.41,3190310.05,8257
1/8/2023,0.411,0.438,0.408,0.436,2772301.49,7338
1/9/2023,0.436,0.461,0.428,0.448,5863138.21,14901
1/10/2023,0.448,0.47,0.435,0.453,4395908.57,10936
1/11/2023,0.454,0.46,0.435,0.452,3048272.31,6412
1/12/2023,0.451,0.475,0.436,0.456,7063389.69,14467
1/13/2023,0.456,0.564,0.454,0.542,22724443.58,48873
1/14/2023,0.542,0.609,0.517,0.561,14988144.44,33080
1/15/2023,0.56,0.608,0.508,0.571,9531357.3,24243
1/16/2023,0.571,0.63,0.558,0.612,10904570.45,28512
1/17/2023,0.614,0.615,0.572,0.576,7144651.7,16260
1/18/2023,0.576,0.598,0.521,0.537,9194476.26,22905
1/19/2023,0.536,0.571,0.527,0.568,4841458.44,13451
1/20/2023,0.568,0.75,0.557,0.699,17440404.06,55530
1/21/2023,0.699,0.742,0.664,0.665,10908600.49,33620
1/22/2023,0.665,0.714,0.646,0.691,10105489.4,27751
1/23/2023,0.691,0.899,0.68,0.857,20774673.64,77242
1/24/2023,0.858,0.898,0.759,0.771,10914375.03,37270
1/25/2023,0.772,0.94,0.767,0.865,15090483.6,61423
1/26/2023,0.864,0.937,0.851,0.881,11716685.57,43472
1/27/2023,0.882,0.9,0.805,0.866,10939864.24,36749
1/28/2023,0.865,1.379,0.855,1.194,43773931.14,172005
1/29/2023,1.192,1.443,1.14,1.279,34733197.94,166364
1/30/2023,1.279,1.328,1.135,1.205,15453399.67,65651
1/31/2023,1.205,1.499,1.16,1.41,30981249.84,151806
2/1/2023,1.412,1.678,1.334,1.522,30213793.35,162047
2/2/2023,1.524,1.785,1.504,1.715,22006232.32,109403
2/3/2023,1.716,1.75,1.529,1.695,24586329.61,147588
2/4/2023,1.694,1.761,1.627,1.674,15226397.17,91397
2/5/2023,1.673,1.87,1.63,1.751,28807202.49,153679
2/6/2023,1.751,2.007,1.729,1.877,32898081.56,170693
2/7/2023,1.875,2.19,1.82,2.133,26311908.94,155310
2/8/2023,2.132,2.148,1.6,1.758,34619646.14,179420
2/9/2023,1.76,1.795,1.277,1.373,52254338.87,238641
2/10/2023,1.375,1.525,1.318,1.483,40702255.62,177678
2/11/2023,1.482,1.482,1.351,1.447,19648318.31,77462
2/12/2023,1.446,1.688,1.392,1.543,29511842.35,130283
2/13/2023,1.542,1.66,1.38,1.498,32826215.37,162185
2/14/2023,1.498,1.779,1.445,1.719,29370153.49,141808
2/15/2023,1.72,2.086,1.689,2.002,28275081.29,145886
2/16/2023,2.003,2.14,1.687,1.768,35184805.12,208210
2/17/2023,1.768,1.994,1.732,1.858,27328949.93,150005
2/18/2023,1.857,1.939,1.781,1.855,12404067.23,69647
2/19/2023,1.854,1.867,1.686,1.718,12539826.97,65318
2/20/2023,1.717,1.75,1.596,1.716,19737937.97,88551
2/21/2023,1.716,1.886,1.644,1.708,14156342.02,94325
2/22/2023,1.706,1.706,1.513,1.614,14114254.01,75560
2/23/2023,1.615,1.709,1.536,1.575,11842772.5,65072
2/24/2023,1.576,1.68,1.386,1.455,17770701.14,83073
2/25/2023,1.455,1.471,1.31,1.407,7953427.53,44014
2/26/2023,1.406,1.573,1.38,1.536,8753658.36,54211
2/27/2023,1.536,1.568,1.44,1.475,10003404.65,48137
2/28/2023,1.475,1.636,1.441,1.457,15698233.07,77920
3/1/2023,1.458,1.574,1.433,1.557,10861863.25,51922
3/2/2023,1.556,1.582,1.416,1.526,8926743.14,43724
3/3/2023,1.525,1.537,1.315,1.356,14080424.09,73072
3/4/2023,1.355,1.374,1.173,1.242,17233140.96,64918
3/5/2023,1.24,1.288,1.171,1.199,7828597.86,31484
3/6/2023,1.199,1.245,1.162,1.215,7747449.35,33233
3/7/2023,1.215,1.287,1.142,1.18,10823496.55,47728
3/8/2023,1.18,1.193,1.044,1.071,11047369.05,44469
3/9/2023,1.071,1.174,0.991,1.042,14987713.78,60067
3/10/2023,1.04,1.078,0.892,1.061,18022725.3,66152
3/11/2023,1.06,1.095,0.912,0.978,12331906.81,46341
3/12/2023,0.977,1.3,0.953,1.238,16469527.76,70781
3/13/2023,1.238,1.39,1.146,1.277,33419079.04,146182
3/14/2023,1.277,1.472,1.225,1.383,29034750.23,132533
3/15/2023,1.382,1.508,1.167,1.253,26787764.8,122538
3/16/2023,1.255,1.381,1.23,1.34,16532422.43,79152
3/17/2023,1.341,1.585,1.308,1.579,15403437.9,75281
3/18/2023,1.579,1.597,1.408,1.462,15605813.35,88478
3/19/2023,1.461,1.578,1.397,1.472,13611852.19,75052
3/20/2023,1.473,1.483,1.327,1.341,14509110.85,79965
3/21/2023,1.341,1.4,1.271,1.338,13632817.14,65762
3/22/2023,1.338,1.488,1.291,1.374,22084411,115918
3/23/2023,1.373,1.411,1.31,1.332,15136699.7,67640
3/24/2023,1.332,1.345,1.189,1.215,11453764.76,46401
3/25/2023,1.215,1.234,1.126,1.15,7815864.39,34446
3/26/2023,1.151,1.26,1.136,1.232,6878882.26,33025
3/27/2023,1.233,1.235,1.098,1.148,7443790.01,34105
3/28/2023,1.147,1.194,1.088,1.178,8157812.28,41103
3/29/2023,1.178,1.315,1.169,1.293,9978442.82,49889
3/30/2023,1.291,1.313,1.207,1.262,10797680.34,52692
3/31/2023,1.261,1.392,1.204,1.373,11216647,56153
4/1/2023,1.374,1.381,1.304,1.346,7187303.1,40082
4/2/2023,1.347,1.362,1.246,1.275,5365279.43,30362
4/3/2023,1.275,1.351,1.227,1.293,7976491.26,48025
4/4/2023,1.293,1.376,1.273,1.331,7437504.4,40597
4/5/2023,1.331,1.394,1.306,1.342,8221455.99,42133
4/6/2023,1.343,1.344,1.272,1.307,4992040.55,26316
4/7/2023,1.305,1.319,1.262,1.303,4475408.37,21989
